"","title","author_firstname","author_lastname"
"1","Abendstimmung in Scheveningen","Irmgard","Keun"
"2","Abschied von den Eltern","Peter","Weiss"
"3","Ach Liebste / laß uns eilen","Martin","Opitz"
"4","Agnes","Peter","Stamm"
"5","An die Nachgeborenen","Bertolt","Brecht"
"6","Anekdote aus dem letzten preußischen Kriege","Heinrich","Kleist"
"7","Ansichten eines Clowns","Heinrich","Böll"
"8","Antigone","Jean","Anouilh"
"9","Antigone","nan","Sophokles"
"10","Appell an den Geist","Erich","Mühsam"
"11","Aus dem Leben eines Taugenichts","Joseph","Eichendorff"
"12","Bahnwärter Thiel","Gerhart","Hauptmann"
"13","Bei den weißen Stiefmütterchen","Sarah","Kirsch"
"14","Bekenntnisse des Hochstaplers Felix Krull","Thomas","Mann"
"15","Berlin Alexanderplatz","Alfred","Döblin"
"16","Blüthenstaub","Friedrich","Hardenberg"
"17","Brief an den Prinzen friedrich Christian II","Friedrich","Schiller"
"18","Brief des Lord Chandos","Hugo","Hofmannsthal"
"19","Bruder Hitler","Thomas","Mann"
"20","Buddenbrooks","Thomas","Mann"
"21","Corpus Delicti","Juli","Zeh"
"22","Dantons Tod","Georg","Büchner"
"23","Das Erdbeben in Chili","Heinrich","Kleist"
"24","Das Feuer","Henri","Barbusse"
"25","Das Göttliche","Johann Wolfgang","Goethe"
"26","Das Haus in der Dorotheenstraße","Hartmut","Lange"
"27","Das Marmorbild","Joseph","Eichendorff"
"28","Das Muschelessen","Birgit","Vanderbeke"
"29","Das Parfum","Patrick","Süskind"
"30","Das Schloss","Franz","Kafka"
"31","Das Schloss Dürande","Joseph","Eichendorff"
"32","Das Urteil","Franz","Kafka"
"33","Das kunstseidene Mädchen","Irmgard","Keun"
"34","Der Augsburger Kreidekreis","Bertolt","Brecht"
"35","Der Besuch der alten Dame","Friedrich","Dürrenmatt"
"36","Der Findling","Heinrich","Kleist"
"37","Der Hessische Landbote","Georg","Büchner"
"38","Der Hofmeister","Jakob Michael Reinhold","Lenz"
"39","Der Philister vor, in und nach der Geschichte","Clemens","Brentano"
"40","Der Process","Franz","Kafka"
"41","Der Russe ist einer, der Birken liebt","Olga","Grjasnowa"
"42","Der Sandmann","E.T.A.","Hoffmann"
"43","Der Sonntag, an dem ich Weltmeister wurde","Friedrich Christian","Delius"
"44","Der Spinnerin Nachtlied","Clemens","Brentano"
"45","Der Steppenwolf","Hermann","Hesse"
"46","Der Trafikant","Robert","Seethaler"
"47","Der Untertan","Heinrich","Mann"
"48","Der Verbrecher aus verlorener Ehre","Friedrich","Schiller"
"49","Der Verlorene","Hans-Ulrich","Treichel"
"50","Der Verschollene","Franz","Kafka"
"51","Der Vorleser","Bernhard","Schlink"
"52","Der Zauberlehrling","Johann Wolfgang","Goethe"
"53","Der blonde Eckbert","Ludwig","Tieck"
"54","Der ewige Spießer","Ödön","Horváth"
"55","Der goldne Topf","E.T.A.","Hoffmann"
"56","Der gute Gott von Manhattan","Ingeborg","Bachmann"
"57","Der gute Mensch von Sezuan","Bertolt","Brecht"
"58","Der zerbrochne Krug","Heinrich","Kleist"
"59","Deutschland. Ein Wintermärchen","Heinrich","Heine"
"60","Die Berliner Antigone","Rolf","Hochhuth"
"61","Die Blechtrommel","Günter","Grass"
"62","Die Dreigroschenoper","Bertolt","Brecht"
"63","Die Furcht vor der Freiheit","Erich","Fromm"
"64","Die Horen","Friedrich","Schiller"
"65","Die Jahre der Liebe","Paul","Nizon"
"66","Die Judenbuche","Annette","Droste-Hülshoff"
"67","Die Jungfrau von Orleans","Friedrich","Schiller"
"68","Die Kindermörderin","Heinrich Leopold","Wagner"
"69","Die Leiden des jungen Werthers","Johann Wolfgang","Goethe"
"70","Die Marquise von O.","Heinrich","Kleist"
"71","Die Physiker","Friedrich","Dürrenmatt"
"72","Die Ratten","Gerhart","Hauptmann"
"73","Die Räuber","Friedrich","Schiller"
"74","Die Soldaten","Jakob Michael Reinhold","Lenz"
"75","Die Verwandlung","Franz","Kafka"
"76","Die heilige Johanna der Schlachthöfe","Bertolt","Brecht"
"77","Die letzten Tage der Menschheit","Karl","Kraus"
"78","Die unwürdige Greisin","Bertolt","Brecht"
"79","Die verlorene Ehre der Katharina Blum","Heinrich","Böll"
